Clinic,Provider,Category,Item,Details,Additional Info
List of Services per Provider/Office,,Scheduling/Service Summary,Services,"{""col_9"": ""Last Edited Aug 2014""}",
,,Scheduling/Service Summary,Services,"{""col_7"": ""Audiogram"", ""col_9"": ""Tymp"", ""col_10"": ""Reflex"", ""col_11"": ""OAE"", ""col_12"": ""ABR"", ""col_14"": ""EcoG"", ""col_15"": ""Tinnitus Eval & Treatment"", ""col_16"": ""HA Repair"", ""col_17"": ""Earmolds"", ""col_18"": ""HA Consult/Fitting"", ""col_20"": ""Cerumen Removal"", ""col_21"": ""HA Reprogramming""}",
,Clinic 1,Scheduling/Service Summary,Services,"{""col_2"": ""Days"", ""col_3"": ""Hours"", ""col_4"": ""Clinic 2"", ""col_5"": ""Days"", ""col_6"": ""Hours"", ""col_7"": ""Adult"", ""col_8"": ""Pediatric"", ""col_12"": ""Adult"", ""col_13"": ""Infant"", ""col_18"": ""Adult"", ""col_19"": ""Pediatric""}",
Andrea,MV,Scheduling/Service Summary,Services,"{""col_2"": ""M, T, Th "", ""col_3"": ""9:00 to 5:00"", ""col_7"": ""YES"", ""col_8"": ""Under 6 months; age 3 and up"", ""col_9"": ""YES"", ""col_10"": ""YES"", ""col_11"": ""YES"", ""col_12"": ""NO"", ""col_13"": ""NO"", ""col_14"": ""NO"", ""col_15"": ""NO"", ""col_16"": ""YES"", ""col_17"": ""YES"", ""col_18"": ""YES"", ""col_19"": ""YES"", ""col_20"": ""YES"", ""col_21"": ""YES""}",
Courtney,CC,Scheduling/Service Summary,Services,"{""col_2"": ""M, T, Th, 1&3 F"", ""col_3"": ""Opens: 8:00; Closes: M: 6:00, T/Th: 5:30; F 1:00"", ""col_4"": ""RV"", ""col_5"": ""W, 2&4 Sat"", ""col_6"": ""W: 8:00 to 6:00; Sat: 9:00 to 2:00"", ""col_7"": ""YES"", ""col_8"": ""Under 6 months; age 5 and up"", ""col_9"": ""YES"", ""col_10"": ""YES"", ""col_11"": ""YES"", ""col_12"": ""NO"", ""col_13"": ""NO"", ""col_14"": ""NO"", ""col_15"": ""NO"", ""col_16"": ""YES"", ""col_17"": ""YES"", ""col_18"": ""YES"", ""col_19"": ""YES"", ""col_20"": ""YES"", ""col_21"": ""YES""}",
Shannon,LT,Scheduling/Service Summary,Services,"{""col_2"": ""M - F"", ""col_3"": ""M: 8:00-4:00\nT & Th: 8:00-5:00\nW: 7:30-2:30\nF: 7:30-1100"", ""col_7"": ""YES"", ""col_8"": ""Under 6 months; age 4 and up"", ""col_9"": ""YES"", ""col_10"": ""YES"", ""col_11"": ""YES"", ""col_12"": ""NO"", ""col_13"": ""NO"", ""col_14"": ""NO"", ""col_15"": ""YES"", ""col_16"": ""YES"", ""col_17"": ""YES"", ""col_18"": ""YES"", ""col_19"": ""10 and above"", ""col_20"": ""YES"", ""col_21"": ""YES""}",
Ross,EK,Scheduling/Service Summary,Services,"{""col_2"": ""T, W, F"", ""col_3"": ""T: 1:30 to 6:00; W: 10:30 to 4:00; F: 10:30 to 3:00"", ""col_4"": ""Prisons"", ""col_5"": ""Th "", ""col_7"": ""YES"", ""col_8"": ""Age 7 and up"", ""col_9"": ""YES"", ""col_10"": ""YES"", ""col_11"": ""YES"", ""col_12"": ""NO"", ""col_13"": ""NO"", ""col_14"": ""NO"", ""col_15"": ""YES"", ""col_16"": ""YES"", ""col_17"": ""YES"", ""col_18"": ""Yes"", ""col_19"": ""12 and up"", ""col_20"": ""YES"", ""col_21"": ""YES""}",
Jen Cushing 1,RV,Scheduling/Service Summary,Services,"{""col_2"": ""M, T, Th "", ""col_3"": ""M: 8:30-4:30 T: 10:00-6:00 Th: 8:30-4:30"", ""col_7"": ""YES"", ""col_8"": ""Under 6 months; age 3 and up"", ""col_9"": ""YES"", ""col_10"": ""YES"", ""col_11"": ""YES"", ""col_12"": ""NO"", ""col_13"": ""NO"", ""col_14"": ""NO"", ""col_15"": ""YES"", ""col_16"": ""YES"", ""col_17"": ""YES"", ""col_18"": ""YES"", ""col_19"": ""YES"", ""col_20"": ""YES"", ""col_21"": ""YES""}",
Jen Cushing 2,FD,Scheduling/Service Summary,Services,"{""col_2"": ""F"", ""col_3"": ""10:00-4:00 (Peds)"", ""col_7"": ""YES"", ""col_8"": ""YES\n"", ""col_9"": ""YES"", ""col_10"": ""YES"", ""col_11"": ""YES"", ""col_12"": ""YES"", ""col_13"": ""YES"", ""col_14"": ""YES"", ""col_15"": ""YES"", ""col_16"": ""YES"", ""col_17"": ""YES"", ""col_18"": ""YES"", ""col_19"": ""YES"", ""col_20"": ""YES"", ""col_21"": ""YES""}",
Jennifer Larmann,FD,Scheduling/Service Summary,Services,"{""col_2"": ""M, W "", ""col_3"": ""8:30 to 7:00"", ""col_4"": "" AV"", ""col_5"": ""T, Th"", ""col_6"": ""8:30 - 6:00"", ""col_7"": ""YES"", ""col_8"": ""Age 18 and up"", ""col_9"": ""YES"", ""col_10"": ""YES"", ""col_11"": ""YES"", ""col_12"": ""NO"", ""col_13"": ""NO"", ""col_14"": ""NO"", ""col_15"": ""YES"", ""col_16"": ""YES"", ""col_17"": ""YES"", ""col_18"": ""YES"", ""col_19"": ""18 and older"", ""col_20"": ""YES"", ""col_21"": ""YES""}",
Caroline*,FD,Scheduling/Service Summary,Services,"{""col_2"": ""M - F "", ""col_3"": ""8:30 to 4:30"", ""col_7"": ""audio screenings, deaf people (who use sign), DORS patients and non-insurance patients "", ""col_8"": ""No"", ""col_9"": ""Private Pay only"", ""col_10"": ""Private Pay only"", ""col_11"": ""Private Pay only"", ""col_12"": ""NO"", ""col_13"": ""NO"", ""col_14"": ""NO"", ""col_15"": ""NO"", ""col_16"": ""YES"", ""col_17"": ""YES"", ""col_18"": ""YES"", ""col_19"": ""NO"", ""col_20"": ""NO"", ""col_21"": ""YES""}",
* Caroline,,Scheduling/Service Summary,Services,"{""col_7"": ""Can Do:"", ""col_8"": ""Cannot Do:""}",
,,Scheduling/Service Summary,Services,"{""col_7"": ""\u2022 Earmold impressions (age 9+) unless ok'd by CP \n\u2022 Earmold pick up\n\u2022 Clean and Checks\n\u2022 Reprogrammings\n\u2022 DORS Audios and Consults\n\u2022 Deaf/Profound Audios and Consults\n\u2022 Established patient routine audio \n only with CP, JWC or RC okay\n\u2022 Lyric refits\n\u2022 Lyric screenings/consults \n\u2022 Hearing testing for fitting hearing aids or for reprogramming (if not cash pay, must clear with CP, JWC or RC)\n\n\n\n"", ""col_8"": ""\u2022 Wax Removal \n\u2022 Hearing testing on new patients for diagnostic purposes\n\u2022 Infants (any services)\n\u2022 Hearing testing on children under 14\n\u2022 ABRs -Tinnitus Eval \n\n\n\n\n\n\n\n"", ""col_9"": "" ""}",
,,Scheduling/Service Summary,Services,{},
Level 2 infant screening -or- Level 3 (1st) infant screening.,,Scheduling/Service Summary,Services,{},
,,Scheduling/Service Summary,Services,{},
A level 2 Infant Screening is for a newborn with the following history:,,Scheduling/Service Summary,Services,{},
"- A Well baby (normal, healthy hospital stay) or less than 5 days of NICU stay",,Scheduling/Service Summary,Services,{},
,,Scheduling/Service Summary,Services,{},
A Level 3 (1st) Infant Screening is for an infant with the following history:,,Scheduling/Service Summary,Services,{},
- 5 or more days stay in NICU,,Scheduling/Service Summary,Services,{},
,,Scheduling/Service Summary,Services,{},
The appointment should only be 30 minutes. Please advise the parent that the infant should be sleeping during the appointment and to bring a bottle or be prepared to nurse the baby before the appointment so that they are quiet/sleeping during the test.,,Scheduling/Service Summary,Services,{},
,,Scheduling/Service Summary,Services,{},
Please collect the following information about the patient/infant:,,Scheduling/Service Summary,Services,{},
Mother's name,,Scheduling/Service Summary,Services,{},
Name of Birth Hospital,,Scheduling/Service Summary,Services,{},
Home Address,,Scheduling/Service Summary,Services,{},
Infant's Date of birth,,Scheduling/Service Summary,Services,{},
"Insurance; **If Priority Partners or an HMO, please ask them to bring or fax a referral for appointment.",,Scheduling/Service Summary,Services,{},
"Gaithersburg, MD",Dr. Shelby Gillen,Provider Services,Service Matrix,"{""col_2"": ""8-4: Mon, Wed, Fri 8:30-4:30: Tues, Thurs"", ""col_3"": ""Mon-Fri"", ""col_4"": ""Kayla King (Mgr: Greg)"", ""col_5"": ""Same as Dr. Gillen"", ""col_6"": ""Yes"", ""col_7"": ""Ages 5 and up (schedule under 5 w/ permission)"", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_10"": ""Yes"", ""col_11"": ""No"", ""col_12"": ""No"", ""col_13"": ""Yes"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""Yes (ages 8 and above)"", ""col_18"": ""Yes"", ""col_19"": ""No"", ""col_20"": ""No"", ""col_21"": ""Yes"", ""col_22"": ""No"", ""col_23"": ""No"", ""col_24"": ""No"", ""col_25"": ""No"", ""col_26"": ""No""}","Hours: 8-4: Mon, Wed, Fri 8:30-4:30: Tues, Thurs, Days: Mon-Fri"
"Chevy Chase, MD",Dr. Adam Alamillo,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:00"", ""col_3"": ""Mon-Fri"", ""col_4"": ""Kristina Pierce-Wiggins (Mgr: Greg)"", ""col_5"": ""7:30-4 Mon-Fri"", ""col_6"": ""YES "", ""col_7"": ""Ages 5 and up"", ""col_8"": ""No"", ""col_9"": ""YES"", ""col_11"": ""Yes"", ""col_12"": ""NO"", ""col_13"": ""YES"", ""col_14"": ""NO/ONLY OAES UP TO 12K"", ""col_15"": ""No"", ""col_16"": ""NO"", ""col_17"": ""No"", ""col_18"": ""YES"", ""col_19"": ""Yes"", ""col_20"": ""No"", ""col_21"": ""YES"", ""col_22"": ""NO"", ""col_23"": ""NO"", ""col_24"": ""Some"", ""col_25"": ""NO""}","Hours: 8:00-4:00, Days: Mon-Fri"
"Chevy Chase, MD",Dr. Erin Roach,Provider Services,Service Matrix,"{""col_2"": ""8:00-4:00"", ""col_3"": ""Mon- Fri"", ""col_6"": ""Yes"", ""col_7"": ""Age 5 and up"", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_11"": ""Yes"", ""col_12"": ""NO"", ""col_13"": ""Yes"", ""col_14"": ""NO/ONLY OAES UP TO 12K"", ""col_15"": ""NO"", ""col_16"": ""NO"", ""col_17"": ""NO"", ""col_18"": ""YES"", ""col_19"": ""Yes"", ""col_20"": ""NO"", ""col_21"": ""Yes"", ""col_22"": ""NO"", ""col_23"": ""NO"", ""col_24"": ""NO"", ""col_25"": ""NO"", ""col_26"": ""Yes""}","Hours: 8:00-4:00, Days: Mon- Fri"
"Cockeysville, MD","Becky Book, Au.D.",Provider Services,Service Matrix,"{""col_2"": ""2025-09-04T00:00:00"", ""col_3"": ""M-Th"", ""col_4"": ""Jessica Braun"", ""col_5"": ""M-F 8-4"", ""col_6"": ""Yes"", ""col_7"": ""Age 5 and up"", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_10"": ""Yes"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""Yes"", ""col_18"": ""Yes"", ""col_19"": ""No"", ""col_20"": ""No"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""Minimal"", ""col_24"": ""No"", ""col_25"": ""No"", ""col_26"": ""No""}","Hours: 2025-09-04 00:00:00, Days: M-Th"
"Cockeysville, MD","Myles Marion, Au.D.",Provider Services,Service Matrix,"{""col_2"": ""8:30-4:00"", ""col_3"": ""Tu, Wed, Fri"", ""col_6"": ""Yes"", ""col_7"": ""Ages 4 and up (under 4 w/ permission"", ""col_8"": ""Yes"", ""col_9"": ""Yes"", ""col_10"": ""Yes"", ""col_11"": ""Yes"", ""col_12"": ""No"", ""col_13"": ""Yes"", ""col_14"": ""No (only OAEs up to 12k)"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""Yes (ages 5 and above)"", ""col_18"": ""Yes"", ""col_19"": ""Yes"", ""col_20"": ""No"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""Yes"", ""col_24"": ""No"", ""col_25"": ""No"", ""col_26"": ""No""}","Hours: 8:30-4:00, Days: Tu, Wed, Fri"
"Timonium, MD",Dr. Shannon Wrabel,Provider Services,Service Matrix,"{""col_2"": ""2024-09-04T00:00:00"", ""col_3"": ""Mon-Fri"", ""col_4"": ""Jessica Braun (Mgr: Greg)"", ""col_5"": ""8:30-3:45 M-F"", ""col_6"": ""YES"", ""col_7"": ""Under 6 months; age 4 and up"", ""col_8"": ""Yes"", ""col_9"": ""YES"", ""col_10"": ""Yes"", ""col_11"": ""NO"", ""col_12"": ""NO"", ""col_13"": ""YES"", ""col_14"": ""No (only OAEs up to 12k)"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""10 and above"", ""col_18"": ""YES"", ""col_19"": ""No"", ""col_20"": ""No"", ""col_21"": ""No"", ""col_22"": ""No"", ""col_23"": ""No"", ""col_24"": ""No"", ""col_25"": ""NO""}","Hours: 2024-09-04 00:00:00, Days: Mon-Fri"
"Ellicott City, MD",Dr. Stacey S. Cole,Provider Services,Service Matrix,"{""col_2"": ""8:00 am - 4:00 pm 12 noon - 3pm on Friday, Saturday by Appointment Only"", ""col_3"": ""Monday - Friday Saturday by Appointment only"", ""col_4"": ""Jasmine Bailey (Mgr: Andrea)"", ""col_5"": ""8:00 - 4:30 pm M-F"", ""col_6"": ""YES"", ""col_7"": ""YES (all ages)"", ""col_8"": ""YES"", ""col_9"": ""YES"", ""col_10"": ""YES"", ""col_11"": ""YES"", ""col_12"": ""NO"", ""col_13"": ""YES"", ""col_14"": ""YES"", ""col_15"": ""Yes"", ""col_16"": ""No"", ""col_17"": ""Newborns and UP"", ""col_18"": ""YES"", ""col_19"": ""YES"", ""col_20"": ""Yes"", ""col_21"": ""YES"", ""col_22"": ""YES"", ""col_23"": ""YES"", ""col_24"": ""No"", ""col_25"": ""Yes""}","Hours: 8:00 am - 4:00 pm 12 noon - 3pm on Friday, Saturday by Appointment Only, Days: Monday - Friday Saturday by Appointment only"
"Annapolis, MD",Dr. Danielle Mills,Provider Services,Service Matrix,"{""col_2"": ""Mon-Fri: 8:30-4:30"", ""col_3"": ""Mon-Fri"", ""col_4"": ""Sheree Ruhl (Mgr: Andrea)"", ""col_5"": ""Mon-Fri: 8:30-4:30"", ""col_6"": ""Yes"", ""col_7"": ""Age 5+"", ""col_8"": ""No"", ""col_9"": ""Yes"", ""col_10"": ""Yes"", ""col_11"": ""No"", ""col_12"": ""No"", ""col_13"": ""No"", ""col_14"": ""No"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""5 and up"", ""col_18"": ""Yes"", ""col_19"": ""Yes"", ""col_20"": ""No"", ""col_21"": ""Re-fits only"", ""col_22"": ""No"", ""col_23"": ""No"", ""col_24"": ""No"", ""col_25"": ""NO""}","Hours: Mon-Fri: 8:30-4:30, Days: Mon-Fri"
"Rockville, MD",Dr. Glenn Elms,Provider Services,Service Matrix,"{""col_2"": ""7:30-3:30"", ""col_3"": ""Mon-Fri"", ""col_4"": ""Jessica Morales (Mgr: Greg)"", ""col_6"": ""YES"", ""col_7"": ""YES over 6 mos old (<5yrs to be scheduled together with Dr. Erin Roach)"", ""col_8"": ""Yes"", ""col_9"": ""YES"", ""col_10"": ""Yes"", ""col_11"": ""YES"", ""col_12"": ""No"", ""col_13"": ""YES"", ""col_14"": ""NO/ONLY OAES UP TO 12K"", ""col_15"": ""No"", ""col_16"": ""No"", ""col_17"": ""5 and up"", ""col_18"": ""YES"", ""col_19"": ""Yes"", ""col_20"": ""Yes"", ""col_21"": ""Yes"", ""col_22"": ""Yes"", ""col_23"": ""NO"", ""col_24"": ""Minimal"", ""col_25"": ""Yes"", ""col_26"": ""Yes""}","Hours: 7:30-3:30, Days: Mon-Fri"
